dajanir1,1,1,1,1,1,1,8,3,3,2,1,1,1,1,1,1,1,1,1,1,1,1,1,35
berrysea,1,1,1,1,1,1,8,3,3,2,1,1,1,1,1,1,1,1,1,1,1,1,1,35
goyalak2,1,1,1,1,1,1,8,3,3,2,1,1,1,1,1,1,1,1,1,1,1,1,1,35
lakhtak1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
chiahjia,1,1,1,1,1,1,8,3,3,2,1,1,1,1,1,1,1,1,1,1,1,1,1,35
fanfeiya,1,1,1,1,1,1,8,3,3,2,1,1,1,1,1,1,1,1,1,1,1,1,1,35
abdul180,1,1,1,1,1,1,8,3,3,2,1,1,1,1,1,1,1,1,1,1,1,1,1,35
masong,1,1,0,1,1,1,2,3,3,2,1,1,1,1,1,1,0,0,0,0,0,0,0,21
huan2500,1,1,1,1,1,1,8,3,3,2,1,1,1,1,1,1,1,1,1,1,1,1,1,35
malikins,1,1,1,1,1,1,8,3,3,2,1,1,1,1,1,1,1,1,1,1,1,1,1,35
graha175,1,1,1,1,1,1,8,3,3,2,1,1,1,1,1,1,1,1,1,1,1,1,1,35
yeqixin,1,1,1,1,1,1,8,3,3,2,1,1,1,1,1,1,1,1,1,1,1,1,1,35
srimuru3,1,1,1,1,1,1,8,3,3,2,1,1,1,1,1,1,1,1,1,1,1,1,1,35
zhan5954,1,1,1,1,1,1,8,3,3,2,1,1,1,1,1,1,1,1,1,1,1,1,1,35
shwedmat,1,1,1,1,1,1,8,3,3,2,1,1,1,1,1,1,1,1,1,1,1,1,1,35
xiaxinti,1,1,1,1,1,0,8,3,3,2,1,1,1,1,1,1,0,0,0,0,0,0,0,27
zhan4159,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
zhanzhir,1,1,1,1,1,1,8,3,3,2,1,1,1,1,1,1,1,0,1,1,1,1,1,34
luraymon,1,1,1,1,1,1,8,3,3,2,1,1,1,1,1,1,1,1,1,1,1,1,1,35
ouyang20,1,1,1,1,1,1,8,3,3,2,1,1,1,1,1,1,1,1,1,1,1,1,1,35
xiazhong,1,1,1,1,1,1,8,3,3,2,1,1,1,1,1,1,1,1,1,1,1,1,1,35
wangq145,1,1,1,1,1,1,8,3,3,2,1,1,0,1,1,1,1,0,1,1,1,1,1,33
yangmat3,1,1,1,1,1,1,8,3,3,2,1,1,1,1,1,1,1,0,1,1,1,1,1,34
fongkwan,1,1,1,1,1,1,8,3,3,2,1,1,1,1,1,1,1,0,1,0,0,0,0,30
luruizh1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
zhuhaot1,1,1,1,1,1,1,8,3,3,2,1,1,1,1,1,1,1,1,1,1,1,1,1,35
dengmen4,1,1,1,1,1,1,8,3,3,2,1,1,1,1,1,1,1,0,1,1,1,1,1,34
chanja51,1,1,1,1,1,1,8,3,3,2,1,1,1,1,1,1,1,1,1,1,1,1,1,35
leemic76,1,1,1,1,1,1,8,3,3,2,1,1,1,1,1,1,1,1,1,1,1,1,1,35
luochufa,1,1,1,1,1,1,8,3,3,2,1,1,1,1,1,1,1,0,1,1,1,1,1,34
lamchr25,1,1,1,1,1,1,8,3,3,2,1,1,1,1,1,1,1,0,1,1,1,1,1,34
rotholiv,0,0,0,1,1,1,0,0,3,2,1,1,1,1,1,1,0,0,0,0,0,0,0,14
chouche9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
chazhoo1,1,1,1,1,1,1,8,3,3,2,1,1,1,1,1,0,0,0,0,0,0,0,0,27
wangboh2,1,1,1,1,1,1,8,3,3,2,1,1,1,1,1,1,1,0,1,1,1,1,1,34
damdibby,1,1,1,1,1,1,8,3,3,2,1,1,1,1,1,1,1,1,1,1,1,1,1,35
tengmin1,1,1,1,1,1,1,8,3,3,2,1,1,1,1,1,1,1,1,1,1,1,1,1,35
kazitaha,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
xuyexion,1,1,1,1,1,1,8,3,3,2,1,1,1,1,1,1,1,0,1,1,1,1,1,34
wangli99,1,1,1,1,1,1,8,3,3,2,1,1,1,1,1,1,1,1,1,1,1,1,1,35
punfrede,1,1,1,1,1,1,8,3,3,2,1,1,1,1,1,1,1,1,1,1,1,1,1,35
jalalsam,1,1,1,1,1,1,8,3,3,2,1,1,1,1,1,1,1,1,1,1,1,1,1,35
zhouha33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
shenhao4,1,1,1,1,1,1,8,3,3,2,1,1,1,1,1,1,1,1,1,1,1,1,1,35
contejas,1,1,1,1,1,1,8,3,3,2,1,1,1,1,1,1,1,0,1,1,1,1,1,34
yaochen8,1,1,1,1,1,1,8,3,3,2,1,1,1,1,1,1,1,0,1,1,1,1,1,34
wangnic8,1,1,1,1,1,1,8,3,3,2,1,1,1,1,1,1,1,1,1,1,1,1,1,35
sahniarj,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
wujunxua,1,1,1,1,1,1,8,3,3,2,1,1,1,1,1,1,1,1,1,1,1,1,1,35
nguy1916,1,1,1,1,1,1,8,3,3,2,1,1,1,1,1,1,1,1,1,1,1,1,1,35
yinlinta,1,1,1,1,1,1,8,3,3,2,1,1,1,1,1,1,1,0,1,1,1,1,1,34
patel415,1,1,1,1,1,1,8,3,3,2,1,1,1,1,1,1,1,0,1,1,1,1,1,34
duongke8,1,1,1,1,1,1,8,3,3,2,1,1,0,1,1,1,0,0,0,0,0,1,0,28
huzaifa3,1,1,1,1,1,1,7,3,3,2,1,1,1,1,1,1,0,0,0,0,0,0,0,27
lukaifen,1,1,1,1,1,1,8,3,3,2,1,1,0,1,1,1,1,0,1,1,1,1,1,33
chodiony,1,1,1,1,1,1,8,3,3,2,1,1,1,1,1,1,1,1,1,1,1,1,1,35
zhan4408,1,1,1,1,1,1,8,3,3,2,1,1,1,1,1,1,1,1,1,1,1,1,1,35
faroo127,1,1,1,1,1,1,8,3,3,2,1,1,1,1,1,1,1,0,1,1,1,1,1,34
chenka46,1,1,1,1,1,1,8,3,3,2,1,1,1,1,1,1,1,1,1,1,1,1,1,35
zhan4001,1,1,1,1,1,1,8,3,3,2,1,1,1,1,1,1,1,1,1,1,1,1,1,35
liming51,1,1,1,1,1,1,8,3,3,2,1,1,0,1,1,1,1,1,1,1,1,1,0,33
hawkin49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
lizhiyu5,1,1,1,1,1,1,8,3,3,2,1,1,1,1,1,1,1,1,1,1,1,1,1,35
chosun19,1,1,1,1,1,1,8,3,3,2,1,1,1,1,1,1,1,1,1,1,1,1,1,35
downieth,1,1,1,1,1,1,8,3,3,2,1,1,0,1,1,1,1,0,1,1,1,1,0,32
wangelen,1,1,1,1,1,1,8,3,3,2,1,1,1,1,1,1,1,0,1,1,1,1,1,34
caowenka,1,1,1,1,1,1,8,3,3,2,1,1,1,1,1,1,1,1,1,1,1,1,1,35
jilong1,1,1,1,1,1,1,8,3,3,2,1,1,1,1,1,1,1,1,1,1,1,1,1,35
nagrapa2,1,1,1,1,1,1,8,3,3,2,1,1,1,1,1,1,1,1,1,1,1,1,1,35
chensi91,1,1,1,1,1,1,8,3,3,2,1,1,1,1,1,1,1,1,1,1,1,1,1,35
liuyife7,1,1,1,1,1,0,8,3,3,2,1,1,1,1,1,1,1,1,1,1,1,1,1,34
jaipers5,1,1,1,1,1,1,8,3,3,2,1,1,1,1,1,1,1,1,1,1,1,1,1,35
liutia86,1,1,1,1,1,1,8,3,3,2,1,1,1,1,1,1,1,1,1,1,1,1,1,35
alishah,1,1,1,1,1,1,8,3,3,2,1,1,1,1,1,1,1,1,1,1,1,1,1,35
suchangl,1,1,1,1,1,1,7,3,3,2,1,1,1,1,1,1,1,1,1,1,1,1,1,34
yize,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hanqinto,1,1,1,1,1,1,8,3,3,2,1,1,1,1,1,1,1,1,1,1,1,1,1,35
tranmin9,1,1,1,1,1,1,0,3,3,2,1,1,1,1,1,0,0,0,0,0,0,0,0,19
moazmuha,1,1,1,1,1,1,3,3,3,2,1,1,1,1,1,1,0,0,0,0,0,0,0,23
jiang197,1,1,1,1,1,1,6,3,3,2,1,1,1,1,1,1,1,1,1,1,1,0,1,32
wangwenf,1,1,1,1,1,1,8,3,3,2,1,1,0,1,1,1,1,0,1,1,1,1,1,33
wangt140,1,1,1,1,1,1,8,3,3,2,1,1,1,1,1,1,1,1,1,1,1,1,1,35
ahmedum5,1,1,1,1,1,1,8,3,3,2,1,1,1,1,1,1,1,1,1,1,1,1,1,35
songzhif,1,1,1,1,1,1,8,3,3,2,1,1,1,1,1,1,1,1,1,1,1,1,1,35
maliksu9,1,1,1,1,1,1,8,3,3,2,1,1,0,1,1,1,1,0,1,1,1,1,1,33
chenha85,1,1,1,1,1,1,8,3,3,2,1,1,1,1,1,1,1,1,1,1,1,1,1,35
liujack8,1,1,1,1,1,1,8,3,3,2,1,1,1,1,1,1,1,0,1,1,1,1,1,34
yuqinxi,1,1,1,1,1,1,8,3,3,2,1,1,1,1,1,1,1,1,1,1,1,1,1,35
lijiay28,1,1,1,1,1,1,8,3,3,2,1,1,1,1,1,1,1,1,1,1,1,1,1,35
ratnaya6,1,1,1,1,1,1,8,3,3,2,1,1,1,1,1,1,1,1,1,1,1,1,1,35
renjenne,1,1,1,1,1,1,8,3,3,2,1,1,1,1,1,1,1,1,1,1,1,1,1,35
garret23,1,1,1,1,1,1,8,3,3,2,1,1,1,1,1,1,1,0,1,1,1,1,1,34
shijiaka,1,1,1,1,1,1,8,3,3,2,1,1,1,1,1,1,1,1,1,1,1,1,1,35
zhaohai5,1,1,1,1,1,1,8,3,3,2,1,1,1,1,1,1,1,1,1,1,1,1,1,35
liuxi196,1,1,1,1,1,1,8,3,3,2,1,1,1,1,1,1,1,1,1,1,1,1,1,35
furaijiy,1,1,1,1,1,1,8,3,3,2,1,1,1,1,1,1,1,1,1,1,1,1,1,35
suielain,1,1,1,1,1,1,8,3,3,2,1,1,1,1,1,1,1,1,1,1,1,1,1,35
wanghe15,1,1,1,1,1,1,8,3,3,2,1,1,1,1,1,1,1,1,1,1,1,1,1,35
shuklah3,1,1,1,1,1,1,8,3,3,2,1,1,1,1,1,1,1,1,1,1,1,1,1,35
ansari54,1,1,1,1,1,1,8,3,3,2,1,1,1,1,1,1,1,1,1,1,1,1,1,35
roussel6,1,1,1,1,1,1,8,3,3,2,1,1,1,1,1,1,1,0,1,1,1,1,1,34
linshar2,1,1,1,1,1,1,8,3,3,2,1,1,1,1,1,1,1,1,1,1,1,1,1,35
kartonoe,1,1,1,1,1,1,8,3,3,2,1,1,1,1,1,1,1,1,1,1,1,1,1,35
tsaitsu3,1,1,1,1,1,1,8,3,3,2,1,1,1,1,1,1,1,1,1,1,1,1,1,35
chaud349,1,1,1,1,1,1,8,3,3,2,1,1,1,1,1,1,1,1,1,1,1,1,1,35
kammulaa,1,1,1,1,1,1,8,3,3,2,1,1,1,1,1,1,1,1,1,1,1,1,1,35
liangka7,1,1,1,1,1,1,8,3,3,2,1,1,1,1,1,1,1,1,1,1,1,1,1,35
lamarrea,1,1,1,1,1,1,8,3,3,2,1,1,1,1,1,1,1,1,1,1,1,1,1,35
vieirav2,1,1,1,1,1,1,8,3,3,2,1,1,1,1,1,1,1,0,1,1,0,1,1,33
poddaran,1,1,1,1,1,1,8,3,3,2,1,1,1,1,1,1,1,1,1,1,1,1,1,35
navabzad,1,1,1,1,1,1,8,3,3,2,1,1,1,1,1,1,1,1,1,1,1,1,1,35
shiqiush,1,1,1,1,1,1,8,3,3,2,1,1,1,1,1,1,1,1,1,1,1,1,1,35
shanqiti,1,1,1,1,1,1,8,3,3,2,1,1,1,1,1,1,1,1,1,1,1,1,1,35
tangyunn,1,1,1,1,1,1,8,3,3,2,1,1,1,1,1,1,1,1,1,1,1,1,1,35
shenjunw,1,1,1,1,1,1,8,3,3,2,1,1,1,1,1,1,1,1,1,1,1,1,1,35
tosally,1,1,1,1,1,1,8,3,3,2,1,1,0,1,1,1,1,0,1,1,1,1,0,32
huangv11,1,1,1,1,1,1,8,3,3,2,1,1,1,1,1,1,1,1,1,1,1,1,1,35
zhaoxua7,1,1,1,1,1,0,8,3,3,2,1,1,1,1,1,1,1,1,1,1,1,1,1,34
vargamat,1,1,1,1,1,1,7,3,3,2,1,1,1,1,1,1,1,1,1,1,1,1,1,34
transt19,1,1,1,1,1,1,8,3,3,2,1,1,1,1,1,1,1,1,1,1,1,1,1,35
allabwan,1,1,1,1,1,1,8,3,3,2,1,1,1,1,1,1,1,1,1,1,1,1,1,35
yanyuqi2,1,1,1,1,1,1,8,3,3,2,1,1,1,1,1,1,1,1,1,1,1,1,1,35
dingyua6,1,1,1,1,1,1,8,3,3,2,1,1,1,1,1,1,1,1,1,1,1,1,1,35
abdall77,1,1,1,1,1,1,8,3,3,2,1,1,1,1,1,1,1,1,1,1,1,1,1,35
vadayat1,1,1,1,1,1,1,8,3,3,2,1,1,1,1,1,1,1,0,1,1,1,1,1,34
khanha11,1,1,1,1,1,1,8,3,3,2,1,1,1,1,1,1,1,1,1,1,1,1,1,35
stairsje,1,1,1,1,1,1,8,3,3,2,1,1,1,1,1,1,1,1,1,1,1,1,1,35
